Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:27.347 	0.000061	0.000052	0.000912
오후 1:49:27.347 	0.000021	0.000017	0.000912
오후 1:49:27.349 	0.000074	0.000070	0.000912
오후 1:49:27.349 	0.000074	0.000064	0.000912
오후 1:49:27.365 	0.000034	0.000029	0.000912
오후 1:49:27.365 	0.000036	0.000034	0.000912
오후 1:49:27.367 	0.000054	0.000061	0.000912
오후 1:49:27.367 	0.000100	0.000097	0.000912
오후 1:49:27.368 	0.000062	0.000053	0.000912
오후 1:49:27.368 	0.000070	0.000068	0.000912
오후 1:49:27.370 	0.000068	0.000058	0.000912
오후 1:49:27.370 	0.000064	0.000056	0.000912
오후 1:49:27.377 	0.000085	0.000057	0.000912
오후 1:49:27.377 	0.000045	0.000012	0.000912
오후 1:49:27.418 	0.000071	0.000063	0.000912
오후 1:49:27.418 	0.000083	0.000065	0.000912
오후 1:49:27.420 	0.000079	0.000057	0.000912
오후 1:49:27.420 	0.000061	0.000036	0.000912
오후 1:49:27.427 	0.000053	0.000032	0.000912
오후 1:49:27.427 	0.000084	0.000055	0.000912
오후 1:49:27.459 	0.000093	0.000076	0.000912
